area,country
Toronto,CA
Catalunya,ES
Wales,GB
Edmonton,CA
Copenhagen Municipality,DK
Östersund Municipality,SE
Liverpool,GB
London,GB
Gothenburg Municipality,SE
Brighton,GB
Miami,US
St. Louis,US
Nairobi,KE
Bergen,NO
Eindhoven,NL
Louisville,US
Cornwall,GB
England,GB
Sydney,AU
Ciudad de México,MX
Glasgow,GB
Atlanta,US
Amsterdam,NL
Houston,US
Asheville,US
Scotland,GB
Copenhagen,DK
New Jersey,US
Nara,JP
Stockholm,SE
Québec,CA
Vancouver,CA
Salford,GB
Hoboken,US
Portland,US
Northern Ireland,GB
Bangalore,IN
Dublin,IE
Bristol,GB
Austin,US
Providence,US
Cardiff,GB
Victoria,AU
Metz,FR
Santa Cruz,US
Tijuana,MX
Madrid,ES
Columbus,US
Montevideo,UY
Edinburgh,GB
San Diego,US
Kyoto,JP
Orlando,US
Green Bay,US
Aarhus,DK
Baton Rouge,US
Barcelona,ES
"Washington, D.C.",US
Perth,AU
Pittsburgh,US
Brooklyn,US
Belfast,GB
Nashville,US
Norwich,GB
Melbourne,AU
Leeds,GB
Gothenburg,SE
Den Haag,NL
Sankt-Peterburg,RU
Texas,US
Wellington,NZ
Huntsville,US
Oslo,NO
Oakland,US
Denver,US
Woodbridge,US
Manhattan,US
Florida,US
Malmö,SE
Helsinki,FI
Albuquerque,US
Durham,US
Moscow,RU
Los Angeles,US
Seattle,US
Chapel Hill,US
Olympia,US
Nishitōkyō,JP
Newark,US
Milano,IT
Sterling,US
Prince George's County,US
Kraków,PL
Köln,DE
Philadelphia,US
Boston,US
Nottingham,GB
Frankfurt am Main,DE
New Paltz,US
Chicago,US
New Orleans,US
Adelaide,AU
Lancashire,GB
Broward County,US
Düsseldorf,DE
Brussels,BE
Birmingham,GB
Manchester,GB
Queens,US
Berlin,DE
Montréal,CA
Auckland,NZ
Perpignan,FR
Baltimore,US
Hamburg,DE
Hackney,GB
New York,US
Paris,FR
San Francisco,US
British Columbia,CA
Hurlingham,AR
Neasden,GB
Rotterdam,NL
